missing_pct,leaky_acc,leaky_std,corrected_acc,corrected_std
0,0.6017,0.0136,0.6017,0.0136
5,0.6218,0.0191,0.5985,0.0182
10,0.6487,0.0173,0.5984,0.0182
15,0.667,0.0158,0.5883,0.0161
20,0.6839,0.0159,0.5843,0.0141
25,0.696,0.0158,0.5703,0.0157
30,0.7189,0.0174,0.5674,0.0187
35,0.7437,0.0107,0.5705,0.0176
40,0.7603,0.0145,0.5585,0.0145
45,0.78,0.0156,0.5545,0.0155
50,0.8013,0.0119,0.5541,0.0143
55,0.8158,0.0127,0.5405,0.0131
60,0.8399,0.0089,0.5428,0.0118
65,0.8631,0.0108,0.5394,0.0099
70,0.8792,0.008,0.5259,0.0152
75,0.898,0.009,0.5254,0.0118
80,0.9172,0.0094,0.5159,0.0118
85,0.9413,0.0072,0.5178,0.011
90,0.9614,0.0066,0.5114,0.0153
95,0.9795,0.0044,0.5064,0.0111
